d [mm],f [GHz],pPDn [W/m2],pPDtot [W/m2],psPDn_1 [W/m2],psPDtot_1 [W/m2],psPDn_4 [W/m2],psPDtot_4 [W/m2],pDeltaT * 100 [°C]
17,79,285.0,282.0,38.0,45.90569628120005,11.0,15.407901488837524,27.822529302984712
37,30,38.0,39.0,13.0,16.58449577270892,7.0,9.731301021584395,4.93403169459281
48,31,33.0,33.0,18.0,20.759748438920624,7.0,9.12459325551442,20.611306561946996
76,78,8.0,7.0,4.0,5.164406804611444,3.0,3.9756578148396606,7.067610810317868
78,72,244.0,240.0,28.0,31.12817088142048,9.0,11.058612221688104,13.169669390615955
81,17,4.0,5.0,14.0,19.597328294572165,9.0,13.652154345867412,6.691679229942454
113,60,3.0,3.0,3.0,3.7374470434776326,1.0,1.6261372097251907,2.9910198058030386
101,40,0.0,0.0,4.0,6.058074256717278,5.0,6.818913977517285,2.5913040022761087
79,19,43.0,44.0,9.0,10.456244352935004,5.0,6.075588205630153,2.5157818313705906
59,21,15.0,15.0,17.0,21.648928774351372,8.0,11.833484752397649,10.468338395448852
57,55,173.0,185.0,35.0,42.29759075108981,11.0,15.478099700940696,24.61231796866924
65,67,0.0,0.0,6.0,7.7066942287395825,3.0,4.564255038000153,3.7323934493587747
84,71,36.0,37.0,10.0,12.003734624465896,6.0,7.49910286424171,4.110677230935759
111,89,6.0,6.0,1.0,1.4274301352808831,0.0,0.35002123214944225,7.180258478747943
108,24,0.0,0.0,2.0,3.7771007686871996,2.0,3.7614291036888563,8.960792015766977
116,88,53.0,53.0,7.0,7.534450690146739,2.0,2.3547518741676052,1.9771365782767054
81,70,44.0,41.0,11.0,12.048375725540682,4.0,4.7388457893365254,3.451831594201257
112,82,1.0,0.0,8.0,9.649704280203057,5.0,6.461163300636644,14.32212967605492
133,66,0.0,0.0,0.0,0.33721177616937115,0.0,0.26062811289445276,1.3429977612063735
118,81,0.0,0.0,0.0,0.295654169135936,0.0,0.29037544725698883,0.46256696989049834
27,42,233.0,225.0,34.0,38.17378461991491,10.0,12.680967751560626,17.17695252948929
97,28,27.0,28.0,9.0,10.658248798066182,5.0,6.19654833527273,1.0898892389368493
49,43,49.0,51.0,19.0,24.961793567177562,9.0,13.599576509802567,17.77171710958842
123,61,0.0,0.0,0.0,0.4615091244858145,0.0,0.37828507749777907,1.278342341552288
53,64,0.0,0.0,1.0,1.7713243222690227,1.0,1.638534646697226,2.6495700866131364
104,84,20.0,19.0,2.0,2.437537860171463,0.0,0.2996755640813844,3.0758913290987153
121,81,24.0,24.0,11.0,12.731862432491665,5.0,6.399303564033428,6.805299400232855
100,41,71.0,69.0,19.0,20.825382911344164,7.0,8.263398737876965,4.32110396727037
83,71,34.0,32.0,21.0,23.45704714724597,8.0,9.813727386331164,9.07043595282969
58,87,107.0,112.0,32.0,41.916863946419255,10.0,16.510923273608874,32.194492279854316
78,30,0.0,0.0,3.0,3.82440448640863,1.0,1.7683345947923388,1.3071396122105594
54,41,50.0,54.0,20.0,28.164539627778815,9.0,15.102313501112253,12.105331561151512
16,80,149.0,150.0,33.0,42.135482395353534,10.0,16.383912446685066,52.524856694138364
86,71,47.0,49.0,7.0,7.862595850336209,2.0,2.5780496411558325,1.0849959940014267
105,75,0.0,0.0,0.0,0.16856839136106827,0.0,0.14768546245900915,0.8041526298808632
51,70,213.0,203.0,33.0,37.49644403418778,10.0,13.21962184114216,88.50846605031482
5,70,263.0,262.0,40.0,65.19952679197412,13.0,27.71368518717101,101.86022974881725
11,63,262.0,260.0,38.0,51.31169719985611,11.0,19.802740085052285,94.9301220056561
8,75,315.0,315.0,40.0,57.09648850362022,12.0,21.587286830902915,89.59475831771941
106,50,95.0,103.0,13.0,14.99603265554164,6.0,7.336739174985556,38.42559279564615
90,87,72.0,72.0,12.0,13.05848363239446,5.0,5.710274376635292,6.101747169496255
126,64,0.0,0.0,0.0,0.1231670601098045,0.0,0.10050630337572919,0.44202494819356714
62,29,134.0,138.0,25.0,28.179871189090335,9.0,10.941301956392138,3.9950117776952143
102,70,0.0,0.0,3.0,4.113919050971734,2.0,3.0082722037175817,5.411828199725673
30,22,8.0,7.0,7.0,9.548861032657973,5.0,7.255730042925824,16.188655492473842
138,17,0.0,0.0,0.0,0.09184410168841906,0.0,0.07005291875705066,0.19677193116911226
61,62,124.0,139.0,23.0,27.29537656550594,9.0,11.586489273406045,27.12058601712826
145,23,0.0,0.0,1.0,1.5337961012261605,1.0,1.4613403515659589,0.7551740004695409
32,68,115.0,107.0,34.0,41.36328231579708,10.0,15.033156574618928,24.158861461897892
132,38,0.0,0.0,3.0,3.675565380519408,2.0,2.5964941688132157,1.210592930277059
133,75,0.0,0.0,0.0,0.20156820251690388,0.0,0.15463203765288047,0.2577197453095123
110,84,54.0,57.0,12.0,13.649597508392638,5.0,6.131601113552844,10.514594782335983
95,76,0.0,0.0,1.0,2.159454903675764,1.0,2.1737081011740993,5.770950644966669
16,85,229.0,225.0,34.0,45.605104300714544,10.0,17.469586118347493,64.87155291014666
15,18,246.0,248.0,38.0,56.805066326496195,12.0,23.689572936885675,95.32210974548518
44,19,266.0,263.0,39.0,47.77604049448303,12.0,17.36780919431022,33.75695522007903
147,62,0.0,0.0,0.0,0.021403824650820136,0.0,0.018416667781884,0.24508700985435714
114,28,0.0,0.0,0.0,0.982287875081741,1.0,2.0395812713566626,2.574943004339424
8,79,300.0,297.0,40.0,51.21761653225599,11.0,17.623353190552457,81.81744141258687
96,80,42.0,41.0,21.0,24.875930402222032,9.0,11.814206342213112,13.510098255680836
48,27,126.0,136.0,33.0,40.93089822131894,11.0,16.153375585001726,13.802597898600162
113,44,0.0,0.0,0.0,0.0722614692282284,0.0,0.06094092457316824,0.1322736225735954
116,20,0.0,0.0,0.0,0.2572944820380876,0.0,0.29407778334776014,1.5257494922905708
98,23,23.0,25.0,8.0,10.027561614516035,5.0,6.659136748423993,13.75268448703374
43,48,124.0,139.0,27.0,34.12509800303693,9.0,13.86875141215527,17.3722824509992
80,21,0.0,0.0,7.0,9.826927349733916,5.0,7.597551632435737,10.7618035441188
104,85,17.0,17.0,2.0,2.6516117597586946,1.0,1.5303867883778053,3.228149974340702
129,15,0.0,0.0,0.0,0.1511323614245097,0.0,0.10496640844052996,0.05597158607013305
98,78,0.0,0.0,0.0,0.6839648643445171,0.0,0.6799917562005182,7.126815544148515
123,47,0.0,0.0,0.0,0.39555092127232117,0.0,0.3390589297293327,0.5418037507384972
16,86,104.0,102.0,31.0,39.192314636686476,10.0,16.06505257004444,60.26236686935055
105,19,0.0,0.0,6.0,7.3170492306753845,4.0,5.192513138184084,2.2648358697884423
88,25,30.0,32.0,18.0,22.772649501037016,8.0,11.395761600187848,5.162911359247826
142,18,0.0,0.0,0.0,0.06446328755261366,0.0,0.06627592460671816,0.3181981177124115
8,70,315.0,315.0,40.0,54.574561469019386,12.0,20.149442160590937,105.32985967189522
135,47,27.0,26.0,9.0,9.833217778185805,4.0,4.588690048049373,1.0661564260039085
2,45,315.0,315.0,40.0,73.50723017228205,13.0,30.882297209033357,119.79403784398416
70,29,48.0,51.0,27.0,35.48726010886858,11.0,16.774483617591198,17.346071465464647
42,25,0.0,0.0,9.0,12.405442030618758,6.0,9.415813920921142,32.77641982578086
91,54,26.0,25.0,12.0,13.544708137687877,5.0,6.20282581574056,4.1923758942164335
90,36,91.0,92.0,16.0,16.92283390793172,6.0,6.568581340886017,4.235585165477327
51,18,46.0,49.0,19.0,24.43549302130894,9.0,12.991151509270512,5.390950236076294
6,64,126.0,151.0,31.0,49.56008315040293,11.0,23.231119303167226,98.48005763617853
120,82,58.0,58.0,12.0,13.27671564128931,4.0,4.8856430046269095,6.108029244263784
129,39,0.0,0.0,0.0,0.1440217919641409,0.0,0.1416607801293912,0.7686173684304576
11,19,95.0,96.0,39.0,60.50168920492142,12.0,25.68998579746048,48.676597876614416
143,15,0.0,0.0,0.0,0.3368821659170014,0.0,0.2859728471802214,0.20592718400938012
37,33,50.0,49.0,20.0,24.260596524141157,8.0,11.243511777591351,17.74613338952666
53,27,32.0,33.0,13.0,16.30960339460927,6.0,8.62132093954486,12.031773043483517
108,82,0.0,0.0,0.0,0.2518164824587674,0.0,0.19646820495587902,0.8805035543454147
96,20,47.0,47.0,19.0,21.92950878394581,8.0,10.211212581993962,24.83581634718802
145,77,0.0,0.0,0.0,0.09545367244721836,0.0,0.08573626403363677,0.3526830653373309
121,74,0.0,0.0,1.0,2.0826229684733533,2.0,2.9963634159640806,2.3300873041280554
41,46,75.0,72.0,27.0,30.83588173036247,8.0,10.635289443465338,15.142749510311557
108,57,0.0,0.0,5.0,6.311941209885379,2.0,3.156986085387921,1.941404579164086
120,22,36.0,37.0,14.0,16.221346111370387,7.0,8.608205071443088,2.142181825785544
14,20,292.0,290.0,38.0,45.79408036397084,11.0,15.292981385069666,17.65787085481381
37,17,103.0,105.0,38.0,55.21249287675981,12.0,22.52685728807607,40.595936810775434
77,41,13.0,14.0,7.0,8.746578273007565,4.0,5.348629160385264,7.2719369879834765
99,67,1.0,1.0,4.0,5.2043711793874134,3.0,4.090216819025113,24.164767967804146
145,55,0.0,0.0,0.0,0.030055204804908753,0.0,0.026146891491855673,0.0852083835572823
118,66,0.0,0.0,2.0,2.7107427904802806,2.0,2.6757360408566666,1.119253888779426
14,37,269.0,270.0,40.0,57.50794725347758,12.0,22.367639272296323,40.84414109615319
4,15,315.0,315.0,40.0,72.0096830169737,13.0,30.327245781534504,114.41656876660458
49,70,9.0,9.0,14.0,18.821092698116583,7.0,11.321088081698006,21.650759400119018
135,30,0.0,0.0,0.0,0.2988896212114516,0.0,0.2846505895017468,0.24785480125964662
5,32,222.0,225.0,38.0,55.986200202062584,12.0,23.090340808091668,54.533661698842124
62,41,0.0,0.0,0.0,1.0663064815481014,1.0,2.1987657111831735,3.9268917821786684
148,63,0.0,0.0,0.0,0.0561881896744576,0.0,0.05933757146522378,0.19454961266529366
109,14,0.0,0.0,0.0,0.30148141289799657,0.0,0.28849885138648435,1.069415064080213
39,19,197.0,205.0,35.0,43.660885799012505,11.0,16.588916417750973,17.208791314438432
92,41,39.0,39.0,7.0,7.939893270264049,3.0,3.6586849379478332,3.1109569494943003
119,26,14.0,14.0,6.0,7.322998384727521,4.0,5.10962402566174,2.1899249416513036
47,12,115.0,108.0,34.0,39.71988255564566,10.0,13.671385138212756,12.768258709936854
30,72,315.0,315.0,40.0,55.06909144844449,12.0,20.227224928060842,68.89188161259271
120,22,0.0,0.0,0.0,0.33972695051397084,0.0,0.3025371179351102,0.17172673524125434
98,27,0.0,0.0,7.0,8.893895980787256,5.0,6.666498234419434,1.5379768748030203
137,62,11.0,10.0,0.0,0.12761630219816467,0.0,0.08641649288727904,0.5680776542374213
132,10,0.0,0.0,0.0,0.47981136646824285,1.0,1.4435385437157708,0.5049646518906035
86,31,14.0,12.0,13.0,14.97444246167493,6.0,7.538379055991271,5.327647303814039
76,65,112.0,126.0,22.0,25.3276432880791,8.0,10.412031777876855,30.688419574451324
35,89,165.0,175.0,26.0,31.958589455046866,9.0,12.774049962692974,57.69962289304241
28,16,190.0,201.0,28.0,35.71473780611031,10.0,14.752073123517707,37.784445979290915
27,33,118.0,128.0,30.0,35.12803927951939,10.0,13.190739660142988,5.602436850497048
72,44,8.0,6.0,13.0,15.851073434609184,7.0,9.356355116182282,7.549882317485922
35,63,46.0,47.0,13.0,17.45035518157621,7.0,10.419925063977228,13.039577203114462
52,35,0.0,0.0,3.0,4.801398874490241,3.0,4.730039723811018,4.825137379076005
37,18,44.0,45.0,26.0,35.08716932821471,11.0,17.722222651540832,27.043179488386382
134,38,0.0,0.0,0.0,0.09682334889074151,0.0,0.09500373721053412,0.20521944555976465
16,59,157.0,174.0,24.0,31.12589747340101,9.0,14.136941545677276,33.44805112203681
44,19,95.0,101.0,28.0,35.806966453680275,10.0,14.980467218869347,24.6239561494964
35,50,118.0,122.0,28.0,33.1274692177193,10.0,13.258242260392668,15.787154843656158
76,34,4.0,3.0,3.0,3.73067750130874,1.0,1.5783197326628735,1.3487551031866882
121,79,0.0,0.0,0.0,0.5899840054603411,0.0,0.5637876195460101,0.6594423076242162
25,23,223.0,226.0,37.0,53.4856740233027,12.0,21.958853347499264,92.29801944783537
30,38,55.0,56.0,34.0,50.23287658637639,11.0,21.69139672256766,25.73449692425607
117,39,3.0,3.0,0.0,0.2280025023507164,0.0,0.1658506449154875,0.9584881207538765
4,58,231.0,233.0,37.0,61.24498182364444,12.0,26.528094967989333,109.56206442042657
32,58,47.0,47.0,27.0,36.788246437750175,10.0,16.81501736060285,11.766045532879216
105,22,0.0,0.0,0.0,0.39608433559686085,0.0,0.3658706950501758,0.7917478079862681
44,43,0.0,3.0,9.0,14.89803693266698,7.0,12.178123151376258,16.703452715260656
44,23,292.0,294.0,37.0,45.34904746415774,11.0,15.6606662283968,11.55381097563973
79,29,1.0,2.0,1.0,1.6623848133129486,0.0,0.57897919551685,2.642462458455208
141,58,0.0,0.0,0.0,0.08013072249365027,0.0,0.07457553708320641,0.2570902177533076
106,44,44.0,43.0,22.0,24.541203716106356,8.0,9.762953252489948,4.045388208603333
57,39,25.0,26.0,9.0,11.058208619634986,6.0,7.514087267834038,2.783167486166672
122,72,18.0,17.0,4.0,4.236977019786621,1.0,1.148058694610023,0.7979824523171797
98,55,0.0,0.0,0.0,0.27210611448899513,0.0,0.28825207595613844,1.1170030004086495
3,16,315.0,315.0,40.0,71.1839165717024,13.0,29.923944700966572,95.32438166315896
145,61,15.0,14.0,6.0,6.56674068472824,2.0,2.3619828363324626,1.0071860420350898
3,80,315.0,315.0,40.0,60.84461687927909,12.0,24.032064680943652,58.706106388623354
19,63,67.0,69.0,32.0,47.21302157383223,11.0,21.355927425457622,69.44248620945588
39,60,57.0,55.0,31.0,39.80369066832306,10.0,16.63763738632172,44.546481159942324
30,37,76.0,74.0,29.0,35.85463337009782,10.0,14.718906357343624,18.075823155342075
19,52,16.0,17.0,7.0,10.74970838829655,6.0,9.034801241128894,17.285824405533265
69,38,10.0,11.0,10.0,13.771759448547025,7.0,10.257882379182542,7.920965007190057
30,59,288.0,294.0,39.0,58.442331422598656,12.0,22.767826497559245,33.815763108797
16,44,103.0,107.0,25.0,30.97073970205095,9.0,13.387086970113396,22.417308009066367
44,13,39.0,39.0,20.0,23.457271035073163,8.0,10.641018709741362,4.651689169475271
92,16,0.0,0.0,3.0,4.405658353451706,3.0,4.252183423819299,1.1323902318034818
138,38,0.0,0.0,0.0,0.17695840742011137,0.0,0.1533674994434724,0.774189362163529
68,40,32.0,31.0,6.0,6.657587507525138,1.0,1.4846401528354591,0.8189923873474776
94,55,0.0,0.0,3.0,4.10356489530801,2.0,2.9425555029697765,2.6274980151836402
42,39,190.0,180.0,34.0,40.182769199933496,10.0,14.002443927495506,18.971706346724233
38,23,10.0,10.0,7.0,10.378547599728225,5.0,8.374777560255131,45.68183297406801
145,40,0.0,0.0,0.0,0.07400725151179888,0.0,0.07077383207033705,0.09141950818132202
34,12,33.0,33.0,16.0,19.796687140993708,8.0,11.207065427098424,8.562367131140979
80,62,0.0,0.0,0.0,0.9450575827422192,0.0,1.0596265388477,12.550250141606892
114,64,23.0,23.0,8.0,8.91283452520899,3.0,3.705856715487167,1.9909183256588223
123,83,47.0,47.0,5.0,5.496475977991128,1.0,1.312492509648274,2.362101764803051
84,30,0.0,0.0,5.0,7.796703325834059,6.0,8.510293325755086,5.4098034291385435
48,62,15.0,14.0,12.0,15.540549050427174,6.0,9.098316147284903,17.361503945300964
85,14,16.0,16.0,12.0,14.475676508774539,7.0,9.047832887547411,3.1499395891749233
23,15,56.0,58.0,24.0,31.450147767031183,9.0,14.339012426649091,36.13640536245458
72,58,0.0,0.0,3.0,4.508348396001644,2.0,3.40534210786504,5.943841192476274
81,55,82.0,81.0,24.0,26.53949707171257,8.0,9.66999977055628,15.468465364958831
121,55,0.0,0.0,2.0,2.5206133705196336,1.0,1.418886529846001,1.2649686894676067
135,41,0.0,0.0,0.0,0.35346915952303815,0.0,0.4459999406320241,0.3718199746040884
2,28,278.0,280.0,40.0,70.4624667661385,13.0,29.91450121703086,115.55533678301398
116,20,0.0,0.0,0.0,0.23832837578027166,0.0,0.24405374336971386,0.96502980110066
44,71,216.0,212.0,29.0,32.498845856298864,9.0,11.162719966867584,3.4805373546527645
6,56,109.0,106.0,39.0,58.85949584214434,12.0,24.346829849355117,93.5719021676791
86,24,25.0,25.0,9.0,10.035793313199921,4.0,4.825802403706849,3.0197562705611785
32,46,129.0,128.0,31.0,35.11406158985344,9.0,11.651613816424467,11.04559790729995
7,19,248.0,252.0,40.0,62.05272822830881,13.0,26.354221887817406,95.42150206451997
24,61,273.0,273.0,40.0,57.28881517088265,12.0,22.329503220987966,49.916438379750325
4,66,306.0,303.0,40.0,62.70573912531948,13.0,25.882626046487253,93.06798955110565
130,87,0.0,0.0,0.0,0.30523505470715206,0.0,0.2651046806348447,1.8577757039562361
120,72,20.0,19.0,7.0,8.119537596277455,3.0,3.8075846895283183,4.079441472822061
124,50,0.0,0.0,0.0,0.21386009079556279,0.0,0.20007791956830445,1.578699198461551
110,89,54.0,56.0,12.0,13.633823928538645,5.0,6.134751418757187,13.052039261440285
67,53,9.0,6.0,6.0,6.597661082113381,2.0,2.4670346082741013,1.4644260028670373
95,35,31.0,32.0,16.0,18.89828661839971,7.0,9.027422553299772,1.767789178952217
30,58,199.0,201.0,32.0,41.10703970357417,11.0,17.23114049604632,54.25185850308601
57,50,40.0,40.0,13.0,15.35500382156928,7.0,8.79508285078672,16.461871648733617
56,44,38.0,37.0,13.0,15.08093476273593,5.0,6.736887835293466,23.17710426848136
100,44,59.0,61.0,22.0,25.228094824562277,8.0,10.254685857866393,7.806981641645425
26,64,68.0,70.0,28.0,38.154395815444964,10.0,17.499475681491102,94.25622781622019
12,42,268.0,267.0,39.0,54.05632649820219,12.0,21.284686383199258,83.7633143925393
98,22,24.0,28.0,8.0,11.231908034999773,7.0,9.422363988917278,1.353002792691366
103,31,0.0,0.0,0.0,0.7774306243052256,1.0,1.7723554355107867,4.6174193462727935
44,60,73.0,72.0,19.0,22.18054055325115,8.0,10.06504216506443,30.068086864346373
57,89,72.0,69.0,24.0,27.613791081663045,8.0,10.570562744110365,25.291577162690345
123,17,0.0,0.0,1.0,1.9003198434423203,2.0,2.868282382665875,0.6248812032364706
85,13,0.0,0.0,5.0,6.371913164026676,4.0,5.225748546469219,3.2997142513174
25,50,84.0,89.0,37.0,56.9513638524875,12.0,24.79493624498435,61.32908856041902
129,46,0.0,0.0,0.0,0.4015838654995887,0.0,0.3468401749343004,0.33760066169128383
96,49,0.0,0.0,2.0,2.811658967087582,1.0,1.6810526960286871,2.1920788410747742
46,30,62.0,64.0,29.0,38.805398079498175,10.0,16.89253107721464,28.920287124190324
137,26,0.0,0.0,0.0,0.041167297365163114,0.0,0.038645996838276186,0.2992308470469413
19,86,315.0,315.0,40.0,62.08716388498877,13.0,25.497669221018292,96.73275446070404
97,15,7.0,6.0,2.0,2.435895628380508,1.0,1.3689675452427879,2.0773564554994803
41,61,229.0,235.0,19.0,22.029828884909527,7.0,8.956305138923945,18.27380085075377
36,60,48.0,48.0,17.0,20.683738479955036,7.0,9.892470401638265,9.366117818972144
75,31,5.0,6.0,6.0,7.805919474174505,4.0,5.389960328628087,1.5809211686360496
45,21,253.0,250.0,36.0,42.68964653826432,11.0,14.725899265059134,13.255379150093937
53,33,41.0,41.0,9.0,9.98628307679644,5.0,5.667595812735874,3.6153240412738996
42,39,48.0,49.0,21.0,26.402585120990658,9.0,12.887592886026697,26.64900176772631
11,73,315.0,315.0,40.0,71.19692439690337,13.0,29.611462738127877,105.86966798669079
132,47,0.0,0.0,0.0,0.060818377902750465,0.0,0.04410732005108531,0.25060123300390663
122,78,34.0,36.0,14.0,16.487698439628943,7.0,8.87936448430087,4.043751089206795
6,28,110.0,116.0,38.0,62.95714173976802,12.0,27.180811456121695,95.77630172238133
31,40,292.0,291.0,32.0,36.61582910326098,10.0,12.952700546042731,47.332537860153415
113,60,0.0,0.0,0.0,0.39382245353812606,0.0,0.31947107783058315,0.48938422093056894
16,16,56.0,58.0,35.0,50.061343426312376,11.0,21.36566824059578,44.53987646897485
64,42,1.0,0.0,5.0,5.792935168608159,2.0,2.6582712748958652,2.3461165378838262
121,78,6.0,6.0,3.0,3.7156195296014496,1.0,1.5413629744564374,0.9989769864398772
88,16,43.0,44.0,15.0,17.2324506965271,7.0,8.700295233880558,13.471718488722315
55,56,72.0,73.0,22.0,25.85771103858015,8.0,10.746837266735811,22.2651885355829
8,80,224.0,226.0,37.0,54.84452335795634,12.0,23.225206996031382,90.11419738359255
106,16,9.0,11.0,3.0,3.979779011644462,3.0,3.7559249416302967,0.9057759634597202
5,54,89.0,91.0,35.0,52.06170364932258,11.0,22.949302306409358,84.22842548904494
15,68,79.0,82.0,35.0,51.310764530242686,11.0,21.619253454249552,57.79847833700347
43,67,90.0,88.0,24.0,28.30769920991746,9.0,12.117315330120343,51.73721907816302
48,25,29.0,28.0,10.0,11.55818227352141,5.0,6.175336692540328,5.121406668026196
106,44,47.0,47.0,14.0,15.322655563903643,6.0,6.8671134328841275,2.181614514655808
79,79,93.0,96.0,20.0,24.08488944212573,8.0,10.757729135618343,29.074266679123248
75,15,44.0,45.0,24.0,30.830395654464713,9.0,14.234565781015903,23.841379556607794
33,32,299.0,295.0,40.0,50.596668763347324,12.0,18.233170367879048,96.14333596601976
46,80,270.0,265.0,35.0,38.603182582882695,9.0,11.018432876295515,19.49229623871826
82,81,64.0,64.0,18.0,20.394404844319737,6.0,7.706134746829692,16.588996187859635
50,14,74.0,75.0,25.0,29.001065242289737,9.0,11.608880247292799,6.465892274322998
97,59,161.0,171.0,29.0,33.48437687603047,9.0,11.699220175267598,27.291790008734164
16,35,66.0,71.0,31.0,46.620011670923546,11.0,21.893588298953077,71.07565549260343
36,37,267.0,266.0,40.0,55.472292116731474,12.0,20.7139490148095,46.08284319970587
132,61,40.0,41.0,9.0,10.473670075066897,5.0,5.9575249303102265,2.1585593620043753
55,71,74.0,76.0,11.0,13.153613248010602,6.0,7.455355426817764,6.366618746720216
4,60,306.0,306.0,40.0,72.05917853239052,13.0,30.38121877722336,111.5430763324556
71,31,4.0,4.0,8.0,10.572956117935078,6.0,8.40636757700851,10.056809362248105
128,33,0.0,0.0,0.0,0.41917022234609624,0.0,0.5795540651549516,0.8333515260524877
149,77,0.0,0.0,0.0,0.03828522690166847,0.0,0.02733768310457907,0.06847450089350546
149,89,0.0,0.0,0.0,0.04602603021777063,0.0,0.03704377468775988,0.20738749979353652
5,32,315.0,315.0,40.0,57.00243538429824,13.0,21.87403044837404,85.84509704917805
93,28,0.0,0.0,0.0,0.591956007727449,0.0,0.5938668617815723,2.757265167108401
70,23,163.0,172.0,32.0,39.651985314457214,11.0,15.63077345780722,28.653229079577077
7,25,59.0,59.0,19.0,25.163406003808905,8.0,13.067512378035286,30.128230627535547
75,88,7.0,6.0,10.0,12.74100547087211,6.0,8.456588222869277,21.271619511833148
59,20,37.0,38.0,13.0,15.897335248257978,7.0,9.36935425054588,8.097490292923325
130,29,0.0,0.0,0.0,0.1822659742204744,0.0,0.16669655228468683,1.0105482353426682
142,57,15.0,14.0,2.0,2.2353292594400997,0.0,0.1600145933006778,1.0792107402312112
92,85,5.0,4.0,4.0,5.278465890077069,2.0,3.148786789592346,13.539022723710737
23,44,179.0,181.0,31.0,35.5018344531788,9.0,12.021052669669345,17.450969333575735
37,60,268.0,270.0,35.0,43.282551135830076,10.0,14.58578172168965,8.508107369738365
32,16,103.0,103.0,28.0,34.25472941955647,10.0,14.386391314966193,37.84590245093604
20,89,130.0,139.0,33.0,42.543372427713024,10.0,16.436690856990698,70.04972790069995
92,55,30.0,30.0,9.0,10.701266899286132,4.0,5.438045668110465,3.3348025270402197
138,25,0.0,0.0,0.0,0.37825211591190366,1.0,1.317134602414616,1.1322628173919762
53,83,72.0,74.0,20.0,24.797723391900757,9.0,12.394861673403408,11.13765815738845
37,76,0.0,0.0,8.0,11.09533980360506,5.0,7.970906001969816,28.651499119205866
59,32,79.0,79.0,17.0,19.05852808308625,7.0,8.499608388195508,3.9377813785760467
24,32,99.0,101.0,32.0,43.02502595809954,11.0,18.810133963453637,89.59420931239333
81,88,231.0,228.0,35.0,40.28746598856039,10.0,13.140028343827522,14.584916769717593
135,13,0.0,0.0,0.0,0.279059603331985,0.0,0.21612108204632352,0.3091662477497927
10,59,140.0,141.0,35.0,48.83510615151316,11.0,20.432773587369667,76.02793834695515
106,40,80.0,80.0,13.0,13.82438262333361,5.0,5.4927828178640485,3.5132052554576707
14,31,292.0,297.0,40.0,60.61323829731724,13.0,24.73995285761838,85.80756232364271
81,45,45.0,47.0,8.0,9.226415936265585,4.0,4.845537677473922,3.4816600639392763
104,27,13.0,16.0,3.0,4.460517855490795,3.0,4.248268278494715,4.951701498189761
71,68,0.0,0.0,4.0,5.842240443709942,4.0,5.763563196052166,16.420374492914423
40,79,8.0,9.0,9.0,13.96242073364332,6.0,10.56250587402825,18.56012068719137
15,37,92.0,95.0,25.0,30.698580866630714,9.0,13.085339722229616,28.27628830963021
108,85,28.0,27.0,6.0,6.55748470383428,2.0,2.404390445688894,2.5709070792491118
58,33,19.0,21.0,4.0,5.690481997094571,4.0,5.363348102694852,5.528220934360082
131,33,0.0,0.0,0.0,0.28369044886287154,0.0,0.28692840204240233,0.7026976928652866
144,43,0.0,0.0,0.0,0.34459879822827544,0.0,0.29801726167902154,0.9424034309707343
147,15,0.0,0.0,0.0,0.10078098721048301,0.0,0.08340905724737624,0.07258925657812473
40,80,53.0,52.0,15.0,17.656852982239222,6.0,8.27646933747361,22.360780999538406
140,32,0.0,0.0,0.0,0.29429656066889587,0.0,0.25329166587865837,1.1137156700744786
42,23,96.0,102.0,18.0,20.865599745500464,8.0,9.897174642033733,9.573389452192403
62,22,15.0,15.0,8.0,9.764602896854427,5.0,6.393918178270858,5.015311161073727
97,45,0.0,0.0,2.0,2.8796539231327722,1.0,1.8135141672952952,1.1172518187786404
117,43,0.0,0.0,0.0,0.41165447560777113,0.0,0.3746734624231327,4.809310971022032
146,56,0.0,0.0,0.0,0.04277356799668497,0.0,0.03620647059444604,0.1407450540238124
53,38,41.0,45.0,22.0,30.368097403250516,9.0,15.24507379684278,19.105593305137354
83,75,0.0,0.0,3.0,4.553660096397783,3.0,4.427663633251871,15.863032184067375
89,36,0.0,0.0,11.0,14.23725999226177,7.0,9.965521669388085,13.687750897489398
129,53,0.0,1.0,4.0,5.882105498439234,4.0,5.5746813910133355,3.0540512960463286
53,73,27.0,27.0,10.0,12.279790540241851,5.0,6.839728984652534,10.985720648670467
138,88,0.0,0.0,0.0,0.09730463571974068,0.0,0.06523155674578729,0.36674006352316474
64,13,0.0,0.0,1.0,1.4538847753180912,1.0,1.365859258966134,0.8894548205424186
118,54,0.0,0.0,0.0,0.10967029575439091,0.0,0.07509983895370165,1.1150425975381126
143,90,0.0,0.0,0.0,0.5181831725892925,0.0,0.46304139589063675,1.3768243382271845
57,53,34.0,34.0,17.0,20.59354599981543,7.0,9.681319567900822,4.552954544970081
100,20,15.0,17.0,18.0,23.608107996369895,9.0,13.64358662531211,9.700789034798756
87,72,9.0,9.0,4.0,5.042669115556073,2.0,2.879714502202305,7.584381943085166
77,67,54.0,54.0,25.0,29.790383311406515,9.0,12.4547795919081,15.954999797971482
107,53,18.0,16.0,3.0,3.3586562647274136,1.0,1.2506315647705772,1.3466776123138087
36,73,0.0,0.0,7.0,9.513103735815971,5.0,7.392046192369065,8.949936697723723
140,73,0.0,0.0,0.0,0.32572469985917296,0.0,0.29200658733511875,0.9654510947419128
